TELERIDE_NUMBER,STOP_NAME,STATUS,CREATE_DT_UTC,MOD_DT_UTC,GLOBALID,POINT
2253,EB 58 AV @ 37 ST SW,ACTIVE,2024/09/29,2024/09/29,de441e9e-67e4-4b23-b57e-aeda29ddbe8d,POINT (-114.1405968 51.0008608)
6032,WB 27 AV NE @ 19 ST NE,ACTIVE,2024/09/29,2024/09/29,284d4e80-de86-4ce1-bb03-fbeea9950088,POINT (-114.0124532 51.0769731)
6213,EB Rundlehorn DR @ 56 ST NE,ACTIVE,2024/09/29,2024/09/29,bf6f5ddf-fb7e-4cb5-8365-3beaa8712705,POINT (-113.9520398 51.0715083)
5072,SB 52 ST SE @ 14 AV SE,ACTIVE,2024/09/29,2024/09/29,66084e3c-b744-4feb-88d1-e1d9e61d38c3,POINT (-113.9585261 51.0405545)
7654,SB California BV @ 400 California PL NE,ACTIVE,2024/09/29,2024/09/29,f81a4fa1-6841-4367-833b-aea2fcaf5631,POINT (-113.9263374 51.0763128)
7379,SB MacEwan DR @ MacEwan Ridge GA NW,ACTIVE,2024/09/29,2024/09/29,57bbd6bf-c566-418c-8564-a84d0c335fc4,POINT (-114.116501 51.139403)
5632,WB Cedarille DR @ Cedardale CR SW,ACTIVE,2024/09/29,2024/09/29,2680e693-bd0f-48f7-aa4c-127781b26e60,POINT (-114.1322007 50.9525988)
8883,EB Royal Oak DR @ Royal Crest TC NW,ACTIVE,2024/09/29,2024/09/29,e0a01b47-5ae3-46e8-9af3-0f4b15026193,POINT (-114.2182378 51.1404567)
5408,WB University WY @ Craigie Hall NW,ACTIVE,2024/09/29,2024/09/29,609f9fe5-0809-446f-bbf4-9de931a148ae,POINT (-114.1270655 51.0764951)
3575,NB Chaparral Valley DR @ Chaparral Valley GD SE,ACTIVE,2024/09/29,2024/09/29,f71fa781-5cc7-460f-ac9e-e4e1084ccebe,POINT (-114.0135457 50.8803016)
9803,EB 9 AV SE @ 4 ST SE,INACTIVE,2024/09/29,2024/09/29,edec37ea-816e-4681-95c4-fb6779dd6508,POINT (-114.0528019 51.0442313)
9246,NB 24 ST SW @ Southland DR,ACTIVE,2024/09/29,2024/09/29,dcd539d3-a565-43a1-b677-6b096e1c3f0d,POINT (-114.117783 50.9619042)
9775,NB Cranston DR @ Cranberry LN SE,ACTIVE,2024/09/29,2024/09/29,b46ae477-cc79-496f-a957-a17dd01f77e7,POINT (-113.9741571 50.8837695)
9933,WB 114 AV SE @ 35 ST SE,ACTIVE,2024/09/29,2024/09/29,4bf3fcf9-daa0-4ecf-a4d2-f3b6ab5b00c3,POINT (-113.9863482 50.9495979)
8543,EB 17 AV SW @ 25 ST SW,ACTIVE,2024/09/29,2024/09/29,b6592afe-eedb-4791-a33d-258f7b843f47,POINT (-114.1201954 51.0377454)
5599,EB 50 AV SW @ Richard RD,ACTIVE,2024/09/29,2024/09/29,9994b82a-443c-46d4-9216-9052df7d6fff,POINT (-114.1285867 51.008638)
2418,WB 130 AV @ 50 ST SE,ACTIVE,2024/09/29,2024/09/29,206e3a2a-062c-4a43-bb90-4171d55abb9c,POINT (-113.9629624 50.932104)
9424,WB 16 AV @ Moncton RD NE,ACTIVE,2024/09/29,2024/09/29,2f03c1ff-62f4-43a8-bffd-6bd7a2a45f1f,POINT (-114.0448249 51.0673176)
8574,EB Scurfield DR @ Scenic GD NW,ACTIVE,2024/09/29,2024/09/29,5e6bb0c0-f3e0-4bba-b946-f61ff805864c,POINT (-114.2127596 51.1222202)
7744,SB 11 ST SE @ N. of 58 AV SE,INACTIVE,2024/09/29,2024/09/29,cf623f5b-a002-44f0-85c4-ca4e3120773a,POINT (-114.0373965 51.0039128)
